"outcome","race_group","year","rate","stderr","lb","ub"
"noplace","NH Asian",2022,0.0782293865781061,0.00795719608486617,0.0635028129860782,0.0947485976302485
"noplace","NH Asian",2023,0.0850207502242127,0.00834283729386894,0.0697584031035303,0.102295872879093
"noplace","NH Asian",2024,0.0749233883044977,0.00726925896851402,0.0615440212476387,0.0900253685177262
"noplace","NH AIAN",2019,0.083489023807225,0.0161391064191547,0.0556958175415276,0.119030285051693
"noplace","NH AIAN",2020,0.10873187448924,0.0210118814986839,0.0732243865689589,0.154072587006813
"noplace","NH AIAN",2021,0.0635565769558515,0.0148735959125635,0.0390300550145718,0.0973312122366019
"noplace","NH AIAN",2022,0.0530149401631068,0.0136408045110333,0.030956288575073,0.0836941615564707
"noplace","NH AIAN",2023,0.0983908820478993,0.0199455337593391,0.0644492829879251,0.142387527103929
"noplace","NH AIAN",2024,0.0552043015523759,0.0140707351817241,0.0328555503179932,0.0877458837817942
"noplace","NH Other",2019,0.0738286048391571,0.0166204865525766,0.0465129435933232,0.110986350070114
"noplace","NH Other",2020,0.0610130641280311,0.0203600204164232,0.0301140543435356,0.108899557965578
"noplace","NH Other",2021,0.0990764998501726,0.0175333571764293,0.0693465271134549,0.137478197401817
"noplace","NH Other",2022,0.0785004375451223,0.017516837394909,0.04930148933607,0.117108409298622
"noplace","NH Other",2023,0.0782185928871552,0.0155397418209246,0.0516200716276243,0.112296554188272
"noplace","NH Other",2024,0.093496778413269,0.0173817268499413,0.0641716233226341,0.13160274191445
"novisit","Hispanic",2019,0.160165066005752,0.00731724264763745,0.146267155475922,0.17481334296857
"novisit","Hispanic",2020,0.149631744578715,0.00871374216757041,0.133531300063666,0.167182716120404
"novisit","Hispanic",2021,0.178370534673023,0.00789741771572716,0.163235984377843,0.19419961989945
"novisit","Hispanic",2022,0.169384287018103,0.00713446409222851,0.155591555715136,0.183639371602633
"novisit","Hispanic",2023,0.159126344669985,0.00735552548002453,0.145016482179649,0.173730787558429
"novisit","Hispanic",2024,0.158910663210832,0.00689817062537761,0.145693879582258,0.172729472459679
"novisit","NH White",2019,0.107246058411905,0.00257653444866057,0.102297831097921,0.112365688389705
"novisit","NH White",2020,0.121828124696559,0.00377135895212275,0.114753151883589,0.129593081141408
"novisit","NH White",2021,0.127194639329834,0.00309070731982157,0.121230495784689,0.133292202787163
"novisit","NH White",2022,0.115494016865729,0.00300560273800556,0.109626949102872,0.121375358130736
"novisit","NH White",2023,0.109381436004477,0.00263177989236863,0.104330342440951,0.114673380452575
"novisit","NH White",2024,0.0998201632631327,0.00275590633928686,0.0944739319638652,0.105370150246817
"novisit","NH Black",2019,0.0906240350903589,0.00640928542524834,0.078606597705819,0.103777416809159
"novisit","NH Black",2020,0.103633397146693,0.00858753120978128,0.0878014630819604,0.12152520447144
"novisit","NH Black",2021,0.100206059741127,0.00699605326567359,0.0870546113262309,0.114513366756144
"novisit","NH Black",2022,0.111492613259151,0.00688050105961893,0.0986077264778272,0.125427656666885
"novisit","NH Black",2023,0.0951183021346957,0.00638714458994291,0.0831480934466882,0.107989778387355
"novisit","NH Black",2024,0.100447944338824,0.00677238607527806,0.0876309738044116,0.114115797001751
"novisit","NH Asian",2019,0.108996229945778,0.00837434924275974,0.0932884654606222,0.126191477049475
"novisit","NH Asian",2020,0.154714967933784,0.0143199021575058,0.128237279303347,0.184096452349187
"novisit","NH Asian",2021,0.20488393188478,0.0119480491915643,0.182228133169639,0.228950255006978
"novisit","NH Asian",2022,0.14622745246426,0.00999499090296026,0.127635574986432,0.166528459393472
"novisit","NH Asian",2023,0.121275752811741,0.00941395267536088,0.103751505299168,0.140436473485714
"novisit","NH Asian",2024,0.122897231927178,0.00901596111103621,0.105786362971388,0.141264895945713
"novisit","NH AIAN",2019,0.0923291507340402,0.0155265521059358,0.0652452700209181,0.125254939365378
"novisit","NH AIAN",2020,0.17244890522816,0.0316683574073137,0.117366308897473,0.240894714445746
"novisit","NH AIAN",2021,0.115267710545871,0.0184155757574426,0.0834402946876274,0.155956580683415
"novisit","NH AIAN",2022,0.188703406814243,0.0279659009330331,0.139013853663338,0.247593270587675
"novisit","NH AIAN",2023,0.1219843917981,0.0188037571641715,0.0887659987062646,0.162435743995525
"novisit","NH AIAN",2024,0.126861288891727,0.0217587716946376,0.0886919466010757,0.174193078834086
"novisit","NH Other",2019,0.153947373259605,0.0250224056646447,0.109597385905133,0.208311071696401
"novisit","NH Other",2020,0.12060114088598,0.030268265979267,0.0714668324958439,0.189042543708676
"novisit","NH Other",2021,0.152145689737428,0.0224622586510144,0.111927509931784,0.200026879036188
"novisit","NH Other",2022,0.152628720269471,0.0246583831998509,0.108904793757672,0.2052120813521
"novisit","NH Other",2023,0.141095856224852,0.0234438086866333,0.100154849749969,0.191304011773451
"novisit","NH Other",2024,0.140672920093137,0.0201766940677805,0.104677878067601,0.18324224933479
